year,htype,count,mean,std,min,25%,50%,75%,max,iqr
2012,apt,385.0,139.28,21.61,85.3,124.3,134.6,155.8,194.6,31.5
2012,cmp,385.0,151.61,13.48,123.3,140.4,150.4,162.3,181.9,21.9
2012,sfa,385.0,156.83,14.69,126.4,147.6,154.4,164.9,201.6,17.3
2012,sfd,385.0,156.58,12.65,116.7,149.6,155.9,162.0,201.2,12.4
2012,twn,341.0,149.97,25.85,105.2,132.3,144.6,163.7,233.6,31.4
2022,apt,420.0,386.06,73.77,130.5,343.18,382.9,427.22,638.1,84.05
2022,cmp,420.0,368.81,53.48,239.5,333.78,365.95,409.82,490.4,76.05
2022,sfa,420.0,379.83,47.84,237.9,345.7,378.2,411.75,507.0,66.05
2022,sfd,420.0,382.01,50.29,221.5,347.75,378.45,414.85,548.3,67.1
2022,twn,384.0,388.27,62.26,251.3,345.78,384.9,420.45,599.7,74.68
